source_id,source_class,title,publisher_or_owner,url_or_repo_path,date_or_ref,status,used_for,not_used_for,license_or_reuse,validation_note
OFFICIAL-ANNOUNCEMENT,official_public,Centennial Jing-Zhang AI Innovation Belt international urban design prequalification announcement,北京市规划和自然资源委员会海淀分局,https://ghzrzyw.beijing.gov.cn/zhengwuxinxi/tzgg/hd/202605/t20260509_4643047.html,2026-05-09,official_public,"project name; organizers; three-level scope text/area; design tasks","precise GIS polygon; project-specific controls not in announcement",official_public_page,"Local repository snapshot inspected; use as formal task evidence within stated scope."
MOHURD-URBAN-DESIGN,official_standard,城市设计管理办法,中华人民共和国住房和城乡建设部,https://www.mohurd.gov.cn/gongkai/zc/wjk/art/2023/art_17339_775476.html,2017-03-14,official_public,"human-centered urban design; public space; city character; consultation framework","claiming Window 6 participation replaces statutory consultation",official_public_standard,"Repository official-PDF text snapshot inspected."
MOHURD-CONTROL-PLAN,official_standard,城市、镇控制性详细规划编制审批办法,中华人民共和国住房和城乡建设部,https://www.gov.cn/zhengce/2022-01/25/content_5711967.htm,2010-12-01,official_public,"distinguish approved controls from concept; planning/public process boundary","inventing FAR/height/redlines/approval",official_public_standard,"Repository snapshot inspected; legal planning procedures remain outside Window 6 authority."
MNR-LAND-USE,official_standard,国土空间调查、规划、用途管制用地用海分类指南,中华人民共和国自然资源部,https://www.gov.cn/zhengce/zhengceku/202311/content_6917279.htm,2023-11-22,official_public,"land-use terminology/classification reference","site-specific land-use approval",official_public_standard,"Repository snapshot inspected."
MOHURD-ARCH-DEPTH,standard_data_gap,建筑工程设计文件编制深度规定（2016年版）,中华人民共和国住房和城乡建设部,brief/site-package/standards/references/mohurd-arch-design-depth-2016.md,repository-fetch-status,missing_source_url,"data-gap reminder only","formal authority claim from unavailable body",unknown_until_official_file,"Do not upgrade; official body/source URL missing in current repository."
PROVISIONAL-GEOMETRY,repository_provisional,Provisional boundaries and three key-area polygons,open-city-ai/haidian,brief/site-package/geometry/provisional_boundaries.geojson,2026-06-05,provisional_only,"temporary generation; visualization; intake; design discussion","official redline; precise area; statutory controls; implementation basis",repository_project_content,"Current geometry directory inspection found no new exact official SITE_BOUNDARY/KEY_AREA files."
LEGACY-USER-SUBMISSION,legacy_design_heritage,Jing-Zhang Legible AI Belt historical package,zhoujiahao-source,submission/zhoujiahao-source/jingzhang-legible-ai-belt,2026-08-08,legacy_not_current_authority,"concept heritage: reversible pilots; legibility; human alternative; open learning","current validation proof; final name freeze; official facts",community_display_only_as_declared_in_old_proposal,"Manifest self_checked=false; old PR has no workflow/status proof; tiny visual/PDF assets require regeneration."
LAW-PIPL,official_law,中华人民共和国个人信息保护法,全国人民代表大会,https://www.npc.gov.cn/npc/c2/c30834/202108/t20210820_313088.html,2021-08-20,current_screening,"personal-information processing/rights screening","capability-specific legal conclusion without actual data/service facts",official_public_legal_text,"Applicability to future capability must be professionally mapped."
LAW-DSL,official_law,中华人民共和国数据安全法,全国人民代表大会,https://www.npc.gov.cn/npc/c2/c30834/202106/t20210610_311888.html,2021-06-10,current_screening,"data-processing/security lifecycle screening","project-specific classification/assessment conclusion without evidence",official_public_legal_text,"Use as current national-level screening context only."
LAW-CSL,official_law,中华人民共和国网络安全法（现行修订语境）,国家互联网信息办公室,https://www.cac.gov.cn/2025-12/29/c_1768735112911946.htm,effective-2026-01-01,current_screening,"network/cybersecurity/AI risk-governance screening","inventing cybersecurity level/certification",official_public_legal_text,"Current 2026 context; actual duties depend on operator/service."
REG-ALGO-RECOMMENDATION,official_regulation,互联网信息服务算法推荐管理规定,国家互联网信息办公室等,https://www.cac.gov.cn/2022-01/04/c_1642894606364259.htm,effective-2022-03-01,current_screening,"covered algorithmic recommendation service screening","assuming every urban AI capability is in scope",official_public_regulation,"Trigger requires actual function/service analysis."
REG-GENAI,official_regulation,生成式人工智能服务管理暂行办法,国家互联网信息办公室等,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,effective-2023-08-15,current_screening,"public generative-AI service screening","assuming any model call is automatically a covered public service",official_public_regulation,"Provider/service architecture determines applicability."
REG-AI-LABEL,official_regulation,人工智能生成合成内容标识办法,国家互联网信息办公室等,https://www.cac.gov.cn/2025-03/14/c_1743654685899683.htm,effective-2025-09-01,current_screening,"generated/synthetic content labeling screening","one-size-fits-all label claim without scope analysis",official_public_regulation,"Current in 2026; assess output/service scope."
REG-ANTHROPOMORPHIC-AI,official_regulation,拟人化人工智能互动服务管理暂行办法,国家互联网信息办公室等,https://www.cac.gov.cn/2026-04/10/c_1777558395078289.htm,effective-2026-07-15,current_screening,"covered anthropomorphic AI interaction service screening","applying to ordinary non-anthropomorphic tools without scope",official_public_regulation,"Newly effective before this review date; re-check at implementation."
LAW-ACCESSIBILITY,official_law,中华人民共和国无障碍环境建设法,国家机关公开法律页面,https://www.spp.gov.cn/spp/fl/202306/t20230628_618991.shtml,effective-2023-09-01,current_screening,"accessible public-facing information/service/fallback design","claiming one interface satisfies all accessibility duties",official_public_legal_text,"Use as screening and design floor; specialist review remains required."
NIST-AI-RMF,comparative_background,AI Risk Management Framework 1.0,NIST,https://www.nist.gov/itl/ai-risk-management-framework,2023,background_only,"lifecycle governance/risk management pattern","Chinese legal requirement; project authority",public_reference_subject_to_source_terms,"Comparative design inspiration only."
OECD-AI-PRINCIPLES,comparative_background,OECD AI Principles,OECD,https://www.oecd.org/en/topics/ai-principles.html,updated-2024,background_only,"human oversight; transparency; challenge; accountability; safe lifecycle","local statutory requirement",public_reference_subject_to_source_terms,"Comparative policy pattern only."
UK-ATRS,comparative_background,Algorithmic Transparency Recording Standard hub,UK Government,https://www.gov.uk/government/collections/algorithmic-transparency-recording-standard-hub,current-public-reference,background_only,"public capability/transparency record pattern","Chinese legal or project-required standard",open_government_public_reference_subject_to_terms,"Comparative design inspiration for Capability Registry only."
